2158.0247,-3855.2444,8.5145,310.5162
2152.9380,-3847.7720,8.5145,303.9362
2147.6165,-3840.1572,8.5145,305.5029
2152.8533,-3836.1064,8.5145,308.0095
2159.3586,-3831.1907,8.5145,305.1895
2166.3206,-3836.9807,8.5145,301.1161
2172.3928,-3844.8879,8.5145,327.4364
2187.9810,-3853.9734,8.5145,352.1900
2153.7380,-3813.1829,8.5145,260.6958
2160.3462,-3841.5781,9.5840,294.5361

2318.9922,-3419.0669,8.5145,142.9281
2324.1377,-3424.8850,8.5145,131.3346
2331.7302,-3432.8535,8.5145,128.5146
2327.5012,-3438.4927,8.5145,131.9613
2320.8267,-3443.0859,8.5145,125.3812
2314.2546,-3437.4436,8.5145,132.2746
2306.4429,-3431.0190,8.5145,154.5215
2289.7561,-3428.6301,8.5145,203.0887
2324.0210,-3461.7532,8.5145,76.1874
2319.0933,-3432.0413,9.5763,126.3212
0
