-1131.5371,1057.5098,1346.4138,270.4092
-1133.9086,1095.4305,1345.8051,267.5424
-1136.5604,1080.3972,1345.8079,180.4350
-1126.4598,1070.8877,1345.7377,177.3017
-1121.6981,1057.6467,1344.0770,266.2892
-1133.7244,1047.8232,1345.7601,272.2660
-1133.7303,1037.7953,1345.7452,272.2660
-1133.5361,1021.7704,1345.7321,312.6864
-1121.8744,1076.1790,1343.6451,188.2919
-1135.6442,1057.4465,1345.7804,178.8918

-975.9757,1060.9830,1345.6719,83.9741
-970.0007,1060.7972,1345.0393,352.4565
-969.3890,1045.5957,1345.0565,181.3983
-974.0644,1024.3928,1345.0452,88.3374
-978.8588,1031.3088,1345.0057,0.2900
-985.0504,1058.9293,1343.3273,92.4108
-971.6582,1077.7163,1345.0062,90.2175
-970.4120,1096.7827,1344.9987,140.9779
-975.5862,1084.3322,1344.9745,93.6642
-977.6633,1021.0510,1345.0239,71.7634
10
